fold,scenario,trained_on,auroc,aupr,fpr95
1,Train_on_class_0_vs_Rest,0,0.9895746090711757,0.999618747853575,0.034229828850855744
2,Train_on_class_1_vs_Rest,1,0.9958956929967878,0.9998538790288374,0.01927710843373494
3,Train_on_class_2_vs_Rest,2,0.9941954672695953,0.9997906266291025,0.02857142857142857
4,Train_on_class_3_vs_Rest,3,0.9775064984003938,0.999146645442163,0.1
5,Train_on_class_4_vs_Rest,4,0.9992394053827717,0.9999745206402768,0.0024271844660194173
6,Train_on_class_5_vs_Rest,5,0.7442031581234475,0.9869116968056876,0.6934306569343066
7,Train_on_class_6_vs_Rest,6,0.9407388017424937,0.9972796543202096,0.17718446601941748
