fold,scenario,auroc,aupr,fpr95
1,OOD_Class_0,0.6957145229410975,0.6223739619658792,0.5419847328244275
2,OOD_Class_1,0.9545837891584628,0.9629349262389194,0.3721304873137334
3,OOD_Class_2,0.9664953765115251,0.9526890327356891,0.072264836495761
4,OOD_Class_3,0.8959721821712132,0.8941057756108886,0.5010092854259185
5,OOD_Class_4,0.9064514197795592,0.9264983905363106,0.6556717618664522
6,OOD_Class_5,0.8498062372264232,0.8657158352824764,0.7429605792437651
7,OOD_Class_6,0.7612581755711539,0.8076088463581356,0.9790744466800805
