fold,scenario,auroc,aupr,fpr95
1,OOD_Class_0,0.5119259314932815,0.48882901109614557,0.9453595821615106
2,OOD_Class_1,0.9017729630469342,0.8818794221473827,0.39267015706806285
3,OOD_Class_2,0.952923851817675,0.942786784081917,0.22446507872426322
4,OOD_Class_3,0.7313853163388893,0.6900384307798245,0.7795720629794106
5,OOD_Class_4,0.8891841002219432,0.8455098359846981,0.4022526146419952
6,OOD_Class_5,0.87809474047852,0.8723590250897701,0.5716009654062751
7,OOD_Class_6,0.8776482107799786,0.8576272803575045,0.577867203219316
