fold,scenario,auroc,aupr,fpr95
1,OOD_Class_0,0.638219920834827,0.582869387511761,0.8019284853354761
2,OOD_Class_1,0.9590523810828249,0.9397294381682763,0.13491743858236005
3,OOD_Class_2,0.9661637541572947,0.9250093294795146,0.06863140896245458
4,OOD_Class_3,0.8862786204510064,0.8454526530688152,0.40976988292289057
5,OOD_Class_4,0.9706022989441261,0.951676470039209,0.08527755430410297
6,OOD_Class_5,0.9461601325749416,0.9402971469155418,0.2751407884151247
7,OOD_Class_6,0.868684472058187,0.8553782457737836,0.5432595573440644
