fold,scenario,auroc,aupr,fpr95
1,OOD_Class_1,0.6416176327653624,0.5833587881066644,0.816793893129771
2,OOD_Class_2,0.9081917191266264,0.9078236731734204,0.4993958920660491
3,OOD_Class_3,0.8700528673318337,0.8082656890103763,0.44893015744852643
4,OOD_Class_4,0.7706282561470289,0.7205604857332801,0.7323375050464271
5,OOD_Class_5,0.9200065111707274,0.9117211260023577,0.40788415124698313
6,OOD_Class_6,0.8130810043546685,0.8259751760737596,0.7477876106194691
7,OOD_Class_7,0.8014626857795631,0.7957702159551365,0.7412474849094567
