fold,scenario,auroc,aupr,fpr95
1,OOD_Class_1,0.794662135334748,0.7255504485102049,0.57774206508638
2,OOD_Class_2,0.9751062652957623,0.9641119156296579,0.07168747482883608
3,OOD_Class_3,0.975590095545687,0.9536749884937499,0.05288655631812677
4,OOD_Class_4,0.9367076148182325,0.9060766546655581,0.24465078724263223
5,OOD_Class_5,0.9822633205092486,0.9733336248889769,0.053901850362027354
6,OOD_Class_6,0.9698428042216549,0.9653397778568703,0.14601769911504425
7,OOD_Class_7,0.9162570371231762,0.9058118745408503,0.4249496981891348
